bin,patient_count,min_events_in_bin,max_events_in_bin,avg_events_in_bin,pct_of_patients,cumulative_patients,cumulative_pct
1-10,642,1,10,6.5,0.32,642,0.32
11-25,2635,11,25,19.2,1.33,3277,1.66
26-50,5286,26,50,37.3,2.68,8563,4.33
51-100,9111,51,100,75.6,4.61,17674,8.94
101-250,27455,101,250,174.4,13.89,45129,22.84
251-500,35567,251,500,368.0,18.0,80696,40.84
501-1000,46359,501,1000,728.2,23.46,127055,64.3
1001-2500,54081,1001,2500,1567.9,27.37,181136,91.67
2501-5000,14268,2501,4999,3286.5,7.22,195404,98.89
5001-10000,2011,5001,10000,6384.1,1.02,197415,99.91
>10000,186,10005,31438,12991.9,0.09,197601,100.0
