event_count,patient_count,cumulative_patients,cumulative_pct
1,33,33,0.02
2,39,72,0.04
3,46,118,0.06
4,50,168,0.09
5,57,225,0.11
6,75,300,0.15
7,70,370,0.19
8,82,452,0.23
9,87,539,0.27
10,103,642,0.32
11,94,736,0.37
12,96,832,0.42
13,113,945,0.48
14,123,1068,0.54
15,141,1209,0.61
16,158,1367,0.69
17,172,1539,0.78
18,207,1746,0.88
19,213,1959,0.99
20,171,2130,1.08
21,211,2341,1.18
22,237,2578,1.3
23,224,2802,1.42
24,247,3049,1.54
25,228,3277,1.66
26,275,3552,1.8
27,237,3789,1.92
28,220,4009,2.03
29,229,4238,2.14
30,225,4463,2.26
31,239,4702,2.38
32,236,4938,2.5
33,206,5144,2.6
34,229,5373,2.72
35,228,5601,2.83
36,222,5823,2.95
37,217,6040,3.06
38,197,6237,3.16
39,201,6438,3.26
40,181,6619,3.35
41,212,6831,3.46
42,212,7043,3.56
43,215,7258,3.67
44,180,7438,3.76
45,196,7634,3.86
46,184,7818,3.96
47,172,7990,4.04
48,200,8190,4.14
49,184,8374,4.24
50,189,8563,4.33
51,194,8757,4.43
52,181,8938,4.52
53,190,9128,4.62
54,180,9308,4.71
55,152,9460,4.79
56,177,9637,4.88
57,194,9831,4.98
58,173,10004,5.06
59,190,10194,5.16
60,170,10364,5.24
61,188,10552,5.34
62,200,10752,5.44
63,161,10913,5.52
64,192,11105,5.62
65,197,11302,5.72
66,163,11465,5.8
67,164,11629,5.89
68,168,11797,5.97
69,205,12002,6.07
70,175,12177,6.16
71,184,12361,6.26
72,165,12526,6.34
73,179,12705,6.43
74,190,12895,6.53
75,183,13078,6.62
76,170,13248,6.7
77,202,13450,6.81
78,175,13625,6.9
79,186,13811,6.99
80,185,13996,7.08
81,196,14192,7.18
82,184,14376,7.28
83,202,14578,7.38
84,182,14760,7.47
85,199,14959,7.57
86,177,15136,7.66
87,177,15313,7.75
88,190,15503,7.85
89,173,15676,7.93
90,182,15858,8.03
91,153,16011,8.1
92,185,16196,8.2
93,173,16369,8.28
94,185,16554,8.38
95,185,16739,8.47
96,169,16908,8.56
97,215,17123,8.67
98,182,17305,8.76
99,191,17496,8.85
100,178,17674,8.94
101,158,17832,9.02
102,182,18014,9.12
103,154,18168,9.19
104,207,18375,9.3
105,200,18575,9.4
106,195,18770,9.5
107,178,18948,9.59
108,183,19131,9.68
109,196,19327,9.78
110,185,19512,9.87
111,173,19685,9.96
112,194,19879,10.06
113,183,20062,10.15
114,162,20224,10.23
115,177,20401,10.32
116,173,20574,10.41
117,189,20763,10.51
118,166,20929,10.59
119,177,21106,10.68
120,201,21307,10.78
121,209,21516,10.89
122,173,21689,10.98
123,202,21891,11.08
124,193,22084,11.18
125,187,22271,11.27
126,185,22456,11.36
127,183,22639,11.46
128,193,22832,11.55
129,181,23013,11.65
130,218,23231,11.76
131,210,23441,11.86
132,164,23605,11.95
133,195,23800,12.04
134,182,23982,12.14
135,190,24172,12.23
136,190,24362,12.33
137,204,24566,12.43
138,217,24783,12.54
139,188,24971,12.64
140,169,25140,12.72
141,196,25336,12.82
142,169,25505,12.91
143,176,25681,13.0
144,189,25870,13.09
145,204,26074,13.2
146,197,26271,13.29
147,194,26465,13.39
148,189,26654,13.49
149,189,26843,13.58
150,190,27033,13.68
151,190,27223,13.78
152,193,27416,13.87
153,192,27608,13.97
154,182,27790,14.06
155,204,27994,14.17
156,180,28174,14.26
