event_count,patient_count,cumulative_patients,cumulative_pct
1,561,561,0.28
2,523,1084,0.55
3,498,1582,0.8
4,467,2049,1.04
5,462,2511,1.27
6,453,2964,1.5
7,482,3446,1.75
8,488,3934,1.99
9,488,4422,2.24
10,519,4941,2.5
11,507,5448,2.76
12,504,5952,3.02
13,498,6450,3.27
14,494,6944,3.52
15,514,7458,3.78
16,533,7991,4.05
17,506,8497,4.31
18,515,9012,4.57
19,535,9547,4.84
20,496,10043,5.09
21,528,10571,5.36
22,545,11116,5.63
23,556,11672,5.92
24,561,12233,6.2
25,562,12795,6.48
26,555,13350,6.77
27,548,13898,7.04
28,540,14438,7.32
29,566,15004,7.6
30,531,15535,7.87
31,559,16094,8.16
32,526,16620,8.42
33,513,17133,8.68
34,552,17685,8.96
35,549,18234,9.24
36,513,18747,9.5
37,514,19261,9.76
38,460,19721,9.99
39,461,20182,10.23
40,469,20651,10.47
41,498,21149,10.72
42,462,21611,10.95
43,455,22066,11.18
44,482,22548,11.43
45,465,23013,11.66
46,501,23514,11.92
47,444,23958,12.14
48,441,24399,12.37
49,470,24869,12.6
50,447,25316,12.83
51,483,25799,13.07
52,384,26183,13.27
53,438,26621,13.49
54,446,27067,13.72
55,419,27486,13.93
56,434,27920,14.15
57,416,28336,14.36
58,422,28758,14.57
59,411,29169,14.78
60,433,29602,15.0
61,437,30039,15.22
62,408,30447,15.43
63,441,30888,15.65
64,379,31267,15.85
65,398,31665,16.05
66,397,32062,16.25
67,407,32469,16.45
68,396,32865,16.66
69,402,33267,16.86
70,398,33665,17.06
71,410,34075,17.27
72,351,34426,17.45
73,363,34789,17.63
74,422,35211,17.84
75,342,35553,18.02
76,373,35926,18.21
77,429,36355,18.42
78,402,36757,18.63
79,412,37169,18.84
80,389,37558,19.03
81,405,37963,19.24
82,377,38340,19.43
83,416,38756,19.64
84,390,39146,19.84
85,379,39525,20.03
86,350,39875,20.21
87,341,40216,20.38
88,376,40592,20.57
89,329,40921,20.74
90,369,41290,20.93
91,424,41714,21.14
92,393,42107,21.34
93,374,42481,21.53
94,387,42868,21.73
95,377,43245,21.92
96,381,43626,22.11
97,371,43997,22.3
98,370,44367,22.48
99,343,44710,22.66
100,359,45069,22.84
101,386,45455,23.04
102,384,45839,23.23
103,356,46195,23.41
104,370,46565,23.6
105,370,46935,23.79
106,355,47290,23.97
107,354,47644,24.15
108,324,47968,24.31
109,368,48336,24.5
110,369,48705,24.68
111,389,49094,24.88
112,360,49454,25.06
113,347,49801,25.24
114,369,50170,25.43
115,344,50514,25.6
116,342,50856,25.77
117,342,51198,25.95
118,362,51560,26.13
119,315,51875,26.29
120,394,52269,26.49
121,356,52625,26.67
122,335,52960,26.84
123,364,53324,27.02
124,332,53656,27.19
125,374,54030,27.38
126,366,54396,27.57
127,371,54767,27.76
128,346,55113,27.93
129,319,55432,28.09
130,334,55766,28.26
131,331,56097,28.43
132,331,56428,28.6
133,310,56738,28.75
134,325,57063,28.92
135,343,57406,29.09
136,330,57736,29.26
137,336,58072,29.43
138,319,58391,29.59
139,305,58696,29.75
140,311,59007,29.9
141,304,59311,30.06
142,347,59658,30.23
143,329,59987,30.4
144,320,60307,30.56
145,362,60669,30.75
146,323,60992,30.91
147,353,61345,31.09
148,311,61656,31.25
149,355,62011,31.43
150,297,62308,31.58
151,340,62648,31.75
152,294,62942,31.9
153,309,63251,32.05
154,307,63558,32.21
155,344,63902,32.38
156,315,64217,32.54
157,321,64538,32.71
158,312,64850,32.87
159,323,65173,33.03
160,310,65483,33.19
161,322,65805,33.35
162,297,66102,33.5
163,323,66425,33.66
164,317,66742,33.82
165,345,67087,34.0
166,322,67409,34.16
167,290,67699,34.31
168,301,68000,34.46
169,319,68319,34.62
170,297,68616,34.77
171,325,68941,34.94
172,300,69241,35.09
173,280,69521,35.23
174,289,69810,35.38
175,305,70115,35.53
176,291,70406,35.68
177,329,70735,35.85
178,308,71043,36.0
179,301,71344,36.16
180,287,71631,36.3
181,276,71907,36.44
182,312,72219,36.6
183,301,72520,36.75
184,303,72823,36.91
185,349,73172,37.08
186,289,73461,37.23
187,280,73741,37.37
188,278,74019,37.51
189,298,74317,37.66
190,283,74600,37.81
191,276,74876,37.95
192,292,75168,38.09
193,270,75438,38.23
194,282,75720,38.37
195,284,76004,38.52
196,276,76280,38.66
197,266,76546,38.79
198,296,76842,38.94
199,305,77147,39.1
200,259,77406,39.23
201,274,77680,39.37
202,278,77958,39.51
203,281,78239,39.65
204,269,78508,39.79
205,261,78769,39.92
206,293,79062,40.07
207,302,79364,40.22
208,285,79649,40.37
209,265,79914,40.5
210,277,80191,40.64
211,248,80439,40.77
212,271,80710,40.9
213,288,80998,41.05
214,268,81266,41.18
215,283,81549,41.33
216,250,81799,41.45
217,262,82061,41.59
218,278,82339,41.73
219,285,82624,41.87
220,258,82882,42.0
221,285,83167,42.15
222,259,83426,42.28
223,295,83721,42.43
224,264,83985,42.56
225,276,84261,42.7
226,276,84537,42.84
227,258,84795,42.97
228,280,85075,43.12
229,287,85362,43.26
230,250,85612,43.39
231,257,85869,43.52
232,247,86116,43.64
233,276,86392,43.78
234,246,86638,43.91
235,295,86933,44.06
236,253,87186,44.18
237,244,87430,44.31
238,266,87696,44.44
239,264,87960,44.58
240,277,88237,44.72
241,274,88511,44.86
242,308,88819,45.01
243,254,89073,45.14
244,242,89315,45.26
245,233,89548,45.38
246,225,89773,45.5
247,253,90026,45.62
248,270,90296,45.76
