IMD_Score,patient_count,pct_of_patients,cumulative_patients,cumulative_pct
-1,13469,1.24,13469,1.24
0,41,0.0,13510,1.25
1,4,0.0,13514,1.25
2,1,0.0,13515,1.25
3,2,0.0,13517,1.25
5,1,0.0,13518,1.25
6,1,0.0,13519,1.25
7,3,0.0,13522,1.25
8,2,0.0,13524,1.25
10,851,0.08,14375,1.33
12,1,0.0,14376,1.33
13,736,0.07,15112,1.4
18,771,0.07,15883,1.47
19,668,0.06,16551,1.53
22,1,0.0,16552,1.53
26,675,0.06,17227,1.59
27,600,0.06,17827,1.65
28,2,0.0,17829,1.65
30,974,0.09,18803,1.74
33,1,0.0,18804,1.74
34,856,0.08,19660,1.82
37,783,0.07,20443,1.89
42,1,0.0,20444,1.89
43,1037,0.1,21481,1.98
45,4,0.0,21485,1.98
49,2,0.0,21487,1.98
51,1,0.0,21488,1.98
53,1,0.0,21489,1.98
54,778,0.07,22267,2.06
56,1611,0.15,23878,2.2
57,688,0.06,24566,2.27
61,1,0.0,24567,2.27
64,5,0.0,24572,2.27
66,977,0.09,25549,2.36
70,1,0.0,25550,2.36
71,704,0.06,26254,2.42
73,606,0.06,26860,2.48
77,1,0.0,26861,2.48
78,4,0.0,26865,2.48
80,739,0.07,27604,2.55
82,1042,0.1,28646,2.64
84,675,0.06,29321,2.71
89,1225,0.11,30546,2.82
92,1,0.0,30547,2.82
93,2,0.0,30549,2.82
95,529,0.05,31078,2.87
96,1,0.0,31079,2.87
97,965,0.09,32044,2.96
98,611,0.06,32655,3.01
99,6,0.0,32661,3.02
102,659,0.06,33320,3.08
103,789,0.07,34109,3.15
105,1035,0.1,35144,3.24
106,733,0.07,35877,3.31
108,766,0.07,36643,3.38
110,3,0.0,36646,3.38
112,569,0.05,37215,3.44
114,979,0.09,38194,3.53
116,1449,0.13,39643,3.66
118,618,0.06,40261,3.72
119,632,0.06,40893,3.78
121,956,0.09,41849,3.86
124,622,0.06,42471,3.92
128,827,0.08,43298,4.0
132,898,0.08,44196,4.08
133,3,0.0,44199,4.08
134,1,0.0,44200,4.08
135,1,0.0,44201,4.08
141,706,0.07,44907,4.15
143,651,0.06,45558,4.21
144,2,0.0,45560,4.21
150,1,0.0,45561,4.21
151,2,0.0,45563,4.21
152,3,0.0,45566,4.21
153,688,0.06,46254,4.27
157,607,0.06,46861,4.33
158,1016,0.09,47877,4.42
159,1,0.0,47878,4.42
160,1,0.0,47879,4.42
162,847,0.08,48726,4.5
163,1,0.0,48727,4.5
165,875,0.08,49602,4.58
167,2,0.0,49604,4.58
168,958,0.09,50562,4.67
170,1009,0.09,51571,4.76
173,1098,0.1,52669,4.86
174,619,0.06,53288,4.92
176,587,0.05,53875,4.97
180,1,0.0,53876,4.97
184,1,0.0,53877,4.97
190,2,0.0,53879,4.97
192,2,0.0,53881,4.97
193,6,0.0,53887,4.98
195,1,0.0,53888,4.98
196,1047,0.1,54935,5.07
198,1,0.0,54936,5.07
199,668,0.06,55604,5.13
200,956,0.09,56560,5.22
202,7,0.0,56567,5.22
204,1,0.0,56568,5.22
205,1,0.0,56569,5.22
208,1,0.0,56570,5.22
214,1,0.0,56571,5.22
215,517,0.05,57088,5.27
216,1,0.0,57089,5.27
217,3,0.0,57092,5.27
219,3,0.0,57095,5.27
222,1,0.0,57096,5.27
223,4,0.0,57100,5.27
225,9,0.0,57109,5.27
228,1,0.0,57110,5.27
231,14,0.0,57124,5.27
233,649,0.06,57773,5.33
238,1095,0.1,58868,5.44
241,1,0.0,58869,5.44
244,2,0.0,58871,5.44
245,775,0.07,59646,5.51
247,936,0.09,60582,5.59
257,701,0.06,61283,5.66
260,5,0.0,61288,5.66
261,1,0.0,61289,5.66
264,933,0.09,62222,5.74
266,1240,0.11,63462,5.86
267,796,0.07,64258,5.93
273,516,0.05,64774,5.98
275,1155,0.11,65929,6.09
276,907,0.08,66836,6.17
277,803,0.07,67639,6.24
279,1,0.0,67640,6.24
280,1,0.0,67641,6.25
281,583,0.05,68224,6.3
287,958,0.09,69182,6.39
288,997,0.09,70179,6.48
295,2,0.0,70181,6.48
296,946,0.09,71127,6.57
298,750,0.07,71877,6.64
299,894,0.08,72771,6.72
300,2,0.0,72773,6.72
301,759,0.07,73532,6.79
308,1,0.0,73533,6.79
313,5,0.0,73538,6.79
317,723,0.07,74261,6.86
320,9,0.0,74270,6.86
325,895,0.08,75165,6.94
330,917,0.08,76082,7.02
331,761,0.07,76843,7.09
332,1,0.0,76844,7.09
333,1,0.0,76845,7.09
343,827,0.08,77672,7.17
348,828,0.08,78500,7.25
349,716,0.07,79216,7.31
351,1,0.0,79217,7.31
353,1,0.0,79218,7.31
354,615,0.06,79833,7.37
357,1,0.0,79834,7.37
361,1,0.0,79835,7.37
366,2,0.0,79837,7.37
367,838,0.08,80675,7.45
369,734,0.07,81409,7.52
371,600,0.06,82009,7.57
373,663,0.06,82672,7.63
383,1,0.0,82673,7.63
385,1,0.0,82674,7.63
389,5,0.0,82679,7.63
396,704,0.06,83383,7.7
400,514,0.05,83897,7.75
401,1,0.0,83898,7.75
409,3,0.0,83901,7.75
410,1049,0.1,84950,7.84
411,1,0.0,84951,7.84
412,1,0.0,84952,7.84
420,1,0.0,84953,7.84
421,524,0.05,85477,7.89
422,422,0.04,85899,7.93
425,892,0.08,86791,8.01
428,801,0.07,87592,8.09
430,6,0.0,87598,8.09
439,434,0.04,88032,8.13
441,19,0.0,88051,8.13
443,1062,0.1,89113,8.23
444,683,0.06,89796,8.29
445,5,0.0,89801,8.29
447,6,0.0,89807,8.29
448,1,0.0,89808,8.29
450,2,0.0,89810,8.29
456,773,0.07,90583,8.36
458,5,0.0,90588,8.36
460,761,0.07,91349,8.43
461,857,0.08,92206,8.51
462,837,0.08,93043,8.59
463,2,0.0,93045,8.59
464,6,0.0,93051,8.59
465,896,0.08,93947,8.67
468,830,0.08,94777,8.75
469,896,0.08,95673,8.83
470,9,0.0,95682,8.83
471,919,0.08,96601,8.92
475,2,0.0,96603,8.92
477,3,0.0,96606,8.92
481,742,0.07,97348,8.99
484,746,0.07,98094,9.06
485,803,0.07,98897,9.13
486,1,0.0,98898,9.13
487,6,0.0,98904,9.13
488,599,0.06,99503,9.19
493,1,0.0,99504,9.19
495,1025,0.09,100529,9.28
503,707,0.07,101236,9.35
507,7,0.0,101243,9.35
508,927,0.09,102170,9.43
509,2,0.0,102172,9.43
511,1374,0.13,103546,9.56
513,2,0.0,103548,9.56
514,3,0.0,103551,9.56
515,956,0.09,104507,9.65
516,888,0.08,105395,9.73
517,1,0.0,105396,9.73
519,2,0.0,105398,9.73
521,1114,0.1,106512,9.83
523,497,0.05,107009,9.88
525,879,0.08,107888,9.96
536,787,0.07,108675,10.03
540,864,0.08,109539,10.11
542,3,0.0,109542,10.11
545,389,0.04,109931,10.15
548,475,0.04,110406,10.19
549,525,0.05,110931,10.24
550,1,0.0,110932,10.24
551,885,0.08,111817,10.32
554,801,0.07,112618,10.4
557,2,0.0,112620,10.4
559,1024,0.09,113644,10.49
565,903,0.08,114547,10.58
566,1327,0.12,115874,10.7
568,3,0.0,115877,10.7
574,1,0.0,115878,10.7
575,231,0.02,116109,10.72
585,2,0.0,116111,10.72
587,4,0.0,116115,10.72
590,5,0.0,116120,10.72
591,1,0.0,116121,10.72
592,616,0.06,116737,10.78
596,742,0.07,117479,10.85
597,778,0.07,118257,10.92
599,4,0.0,118261,10.92
602,3,0.0,118264,10.92
610,1301,0.12,119565,11.04
615,2,0.0,119567,11.04
616,1,0.0,119568,11.04
617,1012,0.09,120580,11.13
619,1,0.0,120581,11.13
623,6,0.0,120587,11.13
625,1010,0.09,121597,11.23
627,4,0.0,121601,11.23
634,747,0.07,122348,11.3
637,1091,0.1,123439,11.4
639,783,0.07,124222,11.47
