filter_id,unique_patients_min14d,total_matches_min14d,mean_duration_days_min14d,median_duration_days_min14d,min_duration_days_min14d,max_duration_days_min14d,prevalence_among_matched_min14d,prevalence_population_min14d,unique_patients_no_min,total_matches_no_min,prevalence_among_matched_no_min,prevalence_population_no_min
5,17,17,195.6,55,28,1414,0.092156,8e-6,17,17,0.092156,8e-6
6,2279,2279,120.6,28,14,1982,0.056803,0.000647,2340,2340,0.055379,0.000648
10,273,273,273.1,146,45,1667,0.128616,0.000176,273,273,0.128193,0.000175
16,17,17,165.0,107,28,479,0.07772,7e-6,19,19,0.069737,7e-6
23,34,34,181.7,84,28,1493,0.085589,0.000015,34,34,0.085589,0.000015
26,493,493,171.6,28,14,1695,0.080821,0.000199,564,564,0.070702,0.000199
28,97,97,42.4,28,14,375,0.019958,0.00001,106,106,0.018486,0.00001
33,337,337,62.2,28,14,1432,0.029291,0.000049,954,954,0.012272,0.000059
43,4325,4325,155.0,51,14,2012,0.072991,0.001578,4508,4508,0.070153,0.001581
55,454,454,232.8,56,14,1948,0.109633,0.000249,520,520,0.095768,0.000249
