time_window_months,time_window_days,total_smrs,smrs_with_change,smrs_without_change,percentage_with_change,percentage_without_change
0.03,1,4440,548,3892,12.3,87.7
0.13,4,4440,796,3644,17.9,82.1
0.25,7,4440,1026,3414,23.1,76.9
0.5,15,4440,1471,2969,33.1,66.9
0.75,22,4440,1718,2722,38.7,61.3
1.0,30,4440,1968,2472,44.3,55.7
1.25,37,4440,2115,2325,47.6,52.4
1.5,45,4440,2259,2181,50.9,49.1
1.75,52,4440,2350,2090,52.9,47.1
2.0,60,4440,2431,2009,54.8,45.2
2.25,67,4440,2510,1930,56.5,43.5
2.5,75,4440,2569,1871,57.9,42.1
2.75,82,4440,2636,1804,59.4,40.6
3.0,90,4440,2695,1745,60.7,39.3
